HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
89489,"41-50","w",3,"34","Border Collie",,,,"I",2016,"m","tricolor"
89494,"51-60","w",2,"23","Beagle",,,,"K",2006,"w","tricolor"
89496,"41-50","w",11,"115","Old Englische Bulldogge",,,,"I",2018,"w","weiss/braun"
89497,"71-80","w",7,"72","Terrier","Mischling",,,"K",2007,"w","hellbraun"
89497,"71-80","w",7,"72","Berger des Pyrenées",,,,"I",2008,"m","fauve"
89503,"51-60","w",3,"31","Chihuahua",,,,"K",2013,"w","tricolor"
89504,"51-60","w",9,"92","Jack Russel Terrier",,,,"K",2007,"w","braun/weiss"
89520,"51-60","w",9,"91","Mischling klein",,,,"K",2008,"w","braun"
89523,"81-90","w",7,"74","Podenco",,,,"I",2007,"w","zimt"
89525,"61-70","m",7,"72","Parson Jack Russell Terrier",,,,"K",2007,"w","weiss/rot"
89526,"31-40","w",9,"92","Mischling klein",,,,"K",2004,"m","tricolor"
89528,"41-50","w",9,"92","Mischling klein",,,,"K",2006,"m","tricolor"
89533,"61-70","w",10,"101","Appenzeller Sennenhund","Mischling",,,"I",2004,"m","tricolor"
89538,"71-80","w",7,"74","Mischling klein",,,,"K",2006,"w","schwarz/braun"
89539,"41-50","m",11,"119","Parson Russell Terrier",,,,"K",2018,"w","tricolor"
89546,"31-40","w",7,"72","Whippet",,,,"I",2016,"m","rot"
89555,"51-60","w",7,"71","Papillon",,,,"K",2013,"w","tricolor"
89559,"51-60","w",9,"92","Malteser",,,,"K",2006,"w","weiss"
89564,"41-50","w",8,"82","Podenco Ibicenco",,,,"I",2005,"w","braun"
89565,"61-70","w",4,"42","Border Collie","Mischling",,,"I",2007,"m","schwarz/braun/weiss"
89572,"41-50","w",3,"31","Pinscher","Mischling",,,"K",2014,"w","braun schwarz gestromt"
89577,"41-50","w",7,"72","Boston Terrier",,"Französische Bulldogge",,"K",2015,"w","schwarz gestromt"
89586,"91-100","w",7,"72","Pudel",,,,"K",2006,"m","grau/schwarz"
89586,"91-100","w",7,"72","Pudel",,,,"K",2013,"m","schwarz"
89587,"61-70","m",8,"81","Weimaraner",,,,"I",2006,"w","silber"
89588,"31-40","w",10,"102","Chihuahua",,,,"K",2011,"m","schwarz/weiss"
89591,"71-80","m",6,"63","Briard",,,,"I",2019,"m","fauve"
89594,"51-60","w",1,"14","Chihuahua",,,,"K",2011,"m","schwarz"
89594,"51-60","w",1,"14","Chihuahua",,,,"K",2011,"m","grau"
89595,"31-40","w",3,"31","Thai Ridgeback",,,,"I",2006,"w","sandfarbig"
89597,"41-50","w",2,"21","Pinscher","Mischling",,,"K",2005,"w","schwarz"
89603,"41-50","m",6,"61","Papillon",,,,"K",2008,"w","schwarz/weiss"
89604,"61-70","m",1,"13","English Setter",,,,"I",2007,"m","weiss/gelb"
89608,"51-60","w",7,"73","Italienisches Windspiel",,,,"K",2011,"w","blau"
89608,"51-60","w",7,"73","Galgo Espanol",,,,"I",2019,"w","beige/schwarz"
89608,"51-60","w",7,"73","Italienisches Windspiel",,,,"K",2018,"w","sable"
89612,"71-80","m",3,"33","Labrador Retriever",,,,"I",2007,"w","gelb"
89613,"41-50","w",9,"92","Border Collie",,,,"I",2013,"m","red merle"
89613,"41-50","w",9,"92","Border Collie",,,,"I",2019,"m","blue/merle"
89618,"71-80","m",7,"72","Eurasier",,,,"I",2017,"m","rot"
89623,"41-50","m",9,"91","Zwergspitz",,"Pomeranian",,"K",2010,"w","orange"
89626,"31-40","m",11,"115","Mischling gross",,,,"I",2017,"m","schwarz"
89631,"41-50","w",10,"101","Galgo Espanol",,,,"I",2011,"m","schwarz/weiss"
89631,"41-50","w",10,"101","Whippet",,,,"I",2007,"w","weiss/braun"
89632,"41-50","m",11,"119","Parson Russell Terrier",,,,"K",2007,"m","rot/braun/weiss"
89644,"41-50","w",3,"31","Australian Shepherd","Mischling",,,"I",2006,"w","schwarz/grau/weiss"
89645,"41-50","m",6,"61","Labrador Retriever","Mischling",,,"I",2007,"m","schwarz"
89648,"51-60","w",3,"33","Labrador Retriever",,,,"I",2007,"w","schwarz"
89650,"41-50","m",8,"82","Dachshund",,,,"K",2006,"w","schwarz/rot"
89651,"31-40","w",9,"91","Chihuahua",,,,"K",2004,"w","braun"
89657,"41-50","m",11,"115","Labrador Retriever",,,,"I",2013,"m","grau"
89661,"61-70","m",3,"31","Tervueren","Mischling",,,"I",2006,"w","fauve"
89664,"31-40","m",4,"42","Chihuahua",,,,"K",2006,"w","braun"
89666,"41-50","w",3,"33","Boston Terrier",,,,"K",2018,"m","schwarz/weiss"
89667,"61-70","w",4,"42","Chihuahua",,,,"K",2006,"m","braun"
89670,"51-60","w",6,"63","Foxterrier",,"Jack Russel Terrier",,"K",2009,"w","braun/weiss"
89677,"51-60","m",3,"31","Jack Russel Terrier",,,,"K",2013,"m","weiss/braun"
89677,"51-60","m",3,"31","Jack Russel Terrier",,,,"K",2010,"w","weiss/beige"
89679,"81-90","w",7,"72","Pudel",,,,"K",2015,"m","rot"
89680,"61-70","w",11,"115","Malteser",,,,"K",2013,"w","weiss"
89690,"61-70","w",4,"44","Pekingese",,,,"K",2017,"w","weiss/schwarz"
89690,"61-70","w",4,"44","Pekingese",,,,"K",2017,"w","weiss/schwarz"
89700,"61-70","m",12,"123","Mischling klein",,,,"K",2017,"w","tricolor"
89703,"61-70","m",8,"81","Mischling gross",,,,"I",2016,"w","beige/braun"
89704,"41-50","w",10,"101","Chihuahua",,,,"K",2008,"w","schwarz/weiss"
89705,"51-60","w",10,"101","Shetland Sheepdog",,,,"K",2007,"w","tricolor"
89707,"51-60","w",12,"121","Chihuahua",,,,"K",2006,"m","tricolor"
89710,"51-60","m",3,"34","Golden Retriever",,"Labrador Retriever",,"I",2006,"m","beige"
89712,"61-70","w",7,"74","Manchester Terrier",,,,"K",2012,"m","schwarz/braun"
89717,"41-50","w",9,"91","Grosspudel",,,,"I",2016,"m","weiss"
89723,"71-80","m",10,"101","Parson Jack Russell Terrier",,,,"K",2009,"w","tricolor"
89726,"41-50","m",2,"21","Golden Retriever",,,,"I",2018,"m","golden"
89733,"81-90","m",8,"82","Jack Russel Terrier",,,,"K",2007,"m","schwarz/weiss/braun"
89736,"71-80","m",11,"111","Yorkshire Terrier",,,,"K",2007,"m","blue/tan"
89737,"61-70","w",2,"23","Golden Retriever",,,,"I",2011,"w","golden"
89739,"61-70","m",10,"101","Kromfohrländer",,,,"I",2007,"m","weiss/braun"
89745,"41-50","m",12,"122","West Highland White Terrier",,"Yorkshire Terrier",,"K",2007,"m","braun gestromt"
89747,"51-60","m",11,"115","Braque français (type Gascogne)",,,,"I",2015,"m","weiss/schwarz"
89752,"41-50","m",12,"122","Parson Russell Terrier",,,,"K",2007,"w","weiss"
89753,"31-40","w",7,"74","Deutscher Schäfer",,,,"I",2006,"m","gelb/schwarz"
89756,"41-50","m",11,"111","Border Collie",,,,"I",2016,"w","braun/weiss"
89757,"51-60","w",6,"61","Mischling klein",,,,"K",2006,"w","weiss"
89758,"51-60","m",2,"23","Mischling klein",,,,"K",2006,"w","schwarz/grau/weiss"
89760,"71-80","w",3,"33","Papillon",,,,"K",2004,"w","tricolor"
89766,"41-50","m",9,"92","Französische Bulldogge",,,,"K",2013,"w","beige"
89778,"41-50","w",10,"101","Berger des Pyrenées",,,,"I",2007,"m","gestromt"
89779,"71-80","m",7,"74","Mischling klein",,,,"K",2006,"m","weiss/creme"
90047,"41-50","m",9,"91","Mischling gross",,,,"I",2010,"w","schwarz/weiss"
90059,"51-60","m",10,"101","Nova Scotia Duck Tolling Retriever",,,,"I",2007,"w","rot/weiss"
90083,"61-70","w",8,"83","Langhaardackel",,,,"K",2006,"m","schwarz/rot"
90087,"81-90","m",7,"74","Zwergschnauzer",,,,"K",2016,"w","schwarz"
90122,"51-60","w",12,"122","Rottweiler",,,,"I",2015,"w","schwarz/braun"
90181,"61-70","w",9,"91","Mischling gross",,,,"I",2015,"w","schwarz/braun"
90293,"51-60","w",2,"24","West Highland White Terrier",,,,"K",2009,"w","weiss"
90305,"51-60","m",2,"21","Norfolk Terrier",,,,"K",2010,"w","rot"
90324,"71-80","w",3,"34","Sheltie",,,,"K",2007,"w","tricolor"
90352,"61-70","w",9,"92","Australian Shepherd",,,,"I",2007,"w","blue merle/weiss"
90352,"61-70","w",9,"92","Cavalier King Charles Spaniel",,,,"K",2013,"w","braun/weiss"
90357,"61-70","w",7,"74","Bergamasker",,,,"I",2007,"w","grau/schwarz"
90358,"31-40","w",2,"24","Chihuahua",,,,"K",2013,"w","silber/weiss"
90360,"41-50","w",3,"33","Yorkshire Terrier","Mischling",,,"K",2012,"w","schwarz Marken"
90361,"51-60","w",9,"91","Weimaraner",,,,"I",2007,"m","silbergrau"
90363,"71-80","w",6,"63","Malteser",,,,"K",2006,"m","weiss"
90381,"51-60","w",10,"101","Zwergpinscher",,,,"K",2007,"m","rot"
90423,"31-40","w",3,"33","Dachshund",,,,"K",2007,"w","braun"
90427,"61-70","w",11,"111","Dachshund",,,,"K",2011,"m","schwarz/grau"
90442,"51-60","w",3,"31","Border Collie",,,,"I",2007,"m","tricolor"
90458,"61-70","w",3,"34","Labrador",,"Pudel",,"I",2017,"w","braun/beige"
90461,"61-70","w",9,"92","Norwich Terrier",,,,"K",2007,"w","black/tan"
90469,"71-80","m",7,"72","Berger de Brie",,,,"I",2015,"m","falb"
90477,"51-60","m",11,"111","Mischling gross",,,,"I",2007,"m","beige/weiss"
90477,"51-60","m",11,"111","Mischling gross",,,,"I",2007,"m","tricolor"
90487,"61-70","w",6,"61","Havaneser",,,,"K",2006,"w","zobel beige"
90519,"81-90","m",7,"71","Berner Sennenhund",,"Border Collie",,"I",2007,"m","tricolor"
90521,"61-70","m",11,"111","Golden Retriever",,,,"I",2007,"w","blondfarben"
90553,"31-40","w",3,"34","Mischling klein",,,,"K",2007,"w","braun/schwarz"
90565,"51-60","w",3,"31","Bichon frisé",,,,"K",2007,"m","weiss"
90574,"71-80","m",4,"41","Kaninchen-Dachshund",,,,"K",2007,"w","schwarz/rot"
90579,"71-80","w",11,"111","Bolonka Zwetna",,,,"K",2014,"w","schwarz lohfarbig"
90588,"31-40","w",9,"92","Labrador",,"Boxer",,"I",2018,"m","schwarz"
90591,"51-60","m",2,"21","Lagotto Romagnolo",,,,"I",2007,"w","weiss/orange"
90599,"51-60","m",12,"122","Shetland Sheepdog",,,,"K",2018,"w","sable"
90624,"41-50","w",8,"83","Pointer","Mischling",,,"I",2013,"m","schwarz/weiss"
90634,"51-60","w",4,"42","Lagotto Romagnolo",,,,"I",2007,"m","braun"
90651,"61-70","m",7,"71","Mischling klein",,,,"K",2007,"w","sandfarbig"
90654,"41-50","w",11,"115","Mischling klein",,,,"K",2007,"m","schwarz/braun"
90682,"81-90","m",3,"34","Lagotto Romagnolo",,,,"I",2007,"w","beige/weiss"
90683,"51-60","m",4,"44","Mischling klein",,,,"K",2004,"m","braun"
90695,"51-60","w",9,"92","Mischling klein",,,,"K",2007,"m","tricolor"
90714,"61-70","w",2,"21","Zwergpinscher",,,,"K",2012,"w","schwarz/braun"
90745,"51-60","w",7,"74","Beagle",,,,"K",2007,"m","tricolor"
90772,"51-60","w",11,"119","Border Terrier",,,,"K",2017,"m","red grizzle"
90772,"51-60","w",11,"119","Border Terrier",,,,"K",2007,"w","red grizzle"
90800,"41-50","w",10,"101","Deutscher Kleinspitz",,,,"K",2005,"m","schwarz"
90854,"41-50","w",9,"92","Parson Russell Terrier",,,,"K",2007,"w","tricolor"
90889,"41-50","w",12,"122","Staffordshire Bullterrier",,,,"II",2009,"m","schwarz gestromt"
90894,"31-40","w",10,"101","Border Collie","Mischling",,,"I",2005,"w","schwarz/weiss"
90913,"41-50","w",11,"119","Terrier","Mischling",,,"K",2011,"m","tricolor"
90914,"41-50","w",7,"74","Yorkshire Terrier",,,,"K",2007,"m","blue/tan"
90921,"71-80","w",10,"101","Tervueren",,,,"I",2007,"w","fauve"
90954,"41-50","w",11,"111","Australian Shepherd",,,,"I",2006,"w","blue/merle"
90974,"61-70","w",3,"34","Spaniel","Mischling",,,"K",2007,"w","tricolor"
90999,"31-40","m",3,"31","Podenco",,,,"I",2008,"w","braun/rot"
91015,"51-60","w",8,"81","Zwergrauhaardackel",,,,"K",2007,"w","saufarben"
91015,"51-60","w",8,"81","Zwergdachshund",,,,"K",2016,"w","schwarz/rot"
91016,"71-80","w",9,"91","Jack Russel Terrier",,,,"K",2007,"m","tricolor"
91027,"61-70","w",9,"92","Zwergspitz",,,,"K",2016,"m","weiss/schwarz"
91031,"71-80","m",9,"92","Chihuahua",,,,"K",2019,"w","schwarz/braun"
91066,"51-60","m",11,"111","Zwergschnauzer",,,,"K",2018,"m","pfeffer/salz"
91145,"51-60","w",10,"101","Jack Russel Terrier",,,,"K",2006,"m","tricolor"
91146,"51-60","w",11,"111","Vorstehhund","Mischling",,,"I",2005,"w","braun"
91166,"51-60","w",7,"73","Zwergdachshund",,,,"K",2015,"w","wildfarbig"
91205,"51-60","m",6,"61","Zwergschnauzer",,,,"K",2007,"w","schwarz"
91206,"41-50","w",9,"92","Continental Bulldog",,,,"I",2009,"m","rot"
91220,"51-60","w",7,"72","Parson Russell Terrier",,,,"K",2007,"w","weiss/rot"
91249,"61-70","w",9,"92","Deutscher Langhaarschäfer",,,,"I",2007,"w","grau"
91256,"41-50","m",9,"91","Segugio italiano",,"Spinone",,"I",2004,"m","schwarz/braun/weiss"
91274,"51-60","m",7,"74","Daisy-Dog","Mischling",,,"K",2007,"m","weiss/beige"
91276,"41-50","m",7,"73","Golden Retriever",,,,"I",2007,"m","blondfarben"
91283,"51-60","w",11,"119","Yorkshire Terrier",,,,"K",2007,"m","blue/tan"
91310,"61-70","w",12,"123","Shih Tzu",,,,"K",2007,"m","weiss/rot"
91316,"61-70","w",7,"71","Beagle",,,,"K",2013,"m","tricolor"
91351,"41-50","m",7,"72","Mops",,,,"K",2009,"w","beige/schwarz"
91356,"71-80","w",2,"24","Appenzeller Sennenhund",,,,"I",2006,"m","tricolor"
91460,"51-60","w",9,"92","Briard (Berger de Brie)","Mischling",,,"I",2010,"m","weizen"
91490,"51-60","w",3,"34","Chihuahua",,,,"K",2008,"w","weiss"
91504,"81-90","w",3,"33","Cocker Spaniel",,,,"K",2009,"m","schwarz"
91671,"21-30","w",12,"123","Barbet",,,,"I",2011,"m","weiss/schwarz"
91693,"51-60","w",11,"119","Yorkshire Terrier",,,,"K",2012,"m","schwarz/braun"
91696,"31-40","w",9,"92","Boxer","Mischling",,,"I",2005,"w","weiss gestromt"
91838,"31-40","w",7,"72","Jack Russel Terrier","Mischling",,,"K",2007,"w","weiss/schwarz"
91842,"71-80","w",9,"92","Shetland Sheepdog",,,,"K",2007,"m","blue/merle"
91936,"61-70","w",2,"21","Mischling gross",,,,"I",2008,"w","sandfarbig"
91939,"61-70","w",9,"92","Yorkshire Terrier",,,,"K",2013,"w","steelblue/tan"
91964,"51-60","w",3,"31","Labrador Retriever",,,,"I",2007,"w","beige"
92024,"51-60","m",10,"101","Briard","Mischling",,,"I",2007,"w","schwarz/weiss"
92024,"51-60","m",10,"101","Schäfer",,,,"I",2007,"m","fauve"
92060,"31-40","w",3,"31","Französische Bulldogge",,,,"K",2014,"w","brindle"
92069,"51-60","m",9,"91","Foxterrier",,,,"K",2007,"w","tricolor"
92083,"71-80","w",9,"92","Toller",,,,"I",2007,"m","rot/weiss"
92085,"31-40","m",11,"111","Pomeranian",,,,"K",2019,"w","sable"
92091,"41-50","w",12,"122","Mischling gross",,,,"I",2007,"w","tricolor"
92094,"71-80","w",11,"115","Pumi",,,,"I",2007,"w","schwarz/grau"
92095,"41-50","w",1,"14","Belgischer Schäferhund","Mischling",,,"I",2007,"w","beige"
92122,"21-30","w",12,"121","Briard (Berger de Brie)",,,,"I",2007,"w","schwarz/weiss"
92158,"51-60","w",3,"34","Soft Coated Wheaten Terrier",,,,"I",2006,"w","wildfarbig"
92159,"61-70","w",7,"73","Jack Russel Terrier",,,,"K",2014,"m","braun/weiss"
92160,"41-50","w",11,"111","Galgo Espanol",,,,"I",2012,"w","braun gestromt"
92169,"51-60","w",6,"63","Australian Shepherd",,,,"I",2008,"m","blue/merle"
92260,"61-70","m",7,"71","Riesenschnauzer",,,,"I",2016,"w","schwarz"
92294,"61-70","w",8,"82","Jack Russel Terrier",,,,"K",2007,"w","tricolor"
92310,"41-50","w",11,"111","Maremmano",,"Bergamasker",,"I",2005,"m","braun/weiss"
92374,"21-30","m",4,"44","Tibetan Spaniel",,"Shih Tzu",,"K",2010,"m","tricolor"
92389,"41-50","m",7,"73","Havaneser",,,,"K",2008,"w","creme"
92394,"71-80","w",10,"102","Shiba Inu",,,,"K",2011,"w","schwarz/braun"
92417,"41-50","m",7,"73","Magyar Viszla",,,,"I",2016,"m","hellbraun"
92426,"61-70","w",9,"91","Holländischer Schäfer",,,,"I",2016,"w","gestromt"
92434,"31-40","w",10,"101","Labrador Retriever",,,,"I",2016,"m","braun"
92465,"31-40","w",9,"92","Französische Bulldogge",,,,"K",2007,"m","schwarz/weiss"
92472,"51-60","w",7,"74","Irish Setter",,,,"I",2007,"w","mahagoni"
92574,"51-60","w",11,"119","Prager Rattler",,,,"K",2014,"w","schwarz/braun"
92574,"51-60","w",11,"119","Mischling klein",,,,"K",2017,"w","schwarz"
92574,"51-60","w",11,"119","Mischling klein",,,,"K",2017,"w","schwarz"
92575,"51-60","w",5,"52","Windhund","Mischling",,,"I",2014,"m","grau/schwarz"
92596,"51-60","w",11,"119","Mops",,,,"K",2016,"w","beige"
92596,"51-60","w",11,"119","Mops",,,,"K",2017,"w","beige"
92619,"61-70","m",6,"61","Labrador Retriever",,,,"I",2015,"m","sable"
92623,"61-70","m",6,"61","Epagneul Breton (Bretonischer Vorstehhund)",,,,"I",2016,"m","weiss/orange"
92624,"71-80","w",6,"63","Border Collie",,,,"I",2005,"w","schwarz/weiss"
92641,"51-60","w",12,"123","Chihuahua",,,,"K",2016,"m","tricolor"
92723,"71-80","w",8,"83","Havaneser",,,,"K",2008,"m","dunkelbraun"
92744,"41-50","w",12,"122","Labrador Retriever",,,,"I",2008,"m","braun"
92750,"51-60","w",11,"111","Podenco",,,,"I",2006,"m","rot/braun"
92779,"41-50","m",8,"83","Mischling klein",,,,"K",2011,"m","braun/schwarz"
92843,"41-50","m",10,"102","Deutscher Schäfer",,,,"I",2007,"m","braun/schwarz"
92844,"51-60","m",5,"52","Bulldog",,,,"I",2019,"m","braun"
92864,"51-60","w",8,"81","Mops",,,,"K",2007,"m","beige"
92902,"61-70","w",10,"101","Mischling klein","Mischling",,,"K",2007,"w","beige/braun"
92936,"71-80","w",11,"111","Cairn Terrier",,,,"K",2005,"m","braun"
92944,"31-40","w",11,"115","Pudel",,,,"K",2009,"w","silber"
92974,"41-50","m",4,"41","Bergamasker","Mischling",,,"I",2008,"m","grau/braun/schwarz"
92975,"51-60","m",9,"92","Labrador Retriever",,,,"I",2011,"m","braun"
92986,"41-50","w",6,"61","Golden Retriever",,,,"I",2014,"w","golden"
92986,"41-50","w",6,"61","Entlebucher Sennenhund",,,,"I",2016,"m","tricolor"
92994,"81-90","m",8,"83","Spitz","Mischling",,,"K",2007,"m","weiss"
93016,"41-50","w",11,"115","Griffon","Mischling",,,"I",2012,"m","beige/braun"
93035,"81-90","w",3,"34","Mischling klein",,,,"K",2005,"w","schwarz/weiss"
93055,"61-70","w",11,"119","Rehpinscher",,,,"K",2008,"m","schwarz/braun"
93055,"61-70","w",11,"119","Rehpinscher",,"Zwergpinscher",,"K",2011,"w","rehbraun"
93071,"41-50","w",11,"111","Havaneser",,,,"K",2015,"w","schwarz/weiss"
93083,"41-50","m",6,"61","Labrador Retriever",,,,"I",2008,"m","blondfarben"
93091,"51-60","w",7,"72","Mischling klein",,,,"K",2008,"w","schwarz"
93125,"71-80","w",12,"123","Coton de Tulear",,,,"K",2006,"w","weiss"
93164,"71-80","w",2,"24","Lagotto Romagnolo",,,,"I",2006,"m","braun/weiss"
93177,"31-40","w",2,"24","Französische Bulldogge",,,,"K",2008,"w","creme"
93202,"51-60","w",11,"119","Golden Retriever",,,,"I",2007,"w","creme"
93203,"71-80","w",3,"33","Spinone",,,,"I",2008,"w","weiss/orange"
93211,"61-70","m",7,"72","Continental Bulldog",,,,"I",2008,"m","schwarz/braun gestromt"
93237,"51-60","w",10,"101","Dogo Canario",,,,"I",2015,"w","hellbraun"
93237,"51-60","w",10,"101","Mischling gross",,,,"I",2014,"m","grau/weiss"
93238,"61-70","w",11,"111","Chihuahua",,,,"K",2008,"m","braun"
93239,"61-70","m",9,"92","Labrador Retriever","Mischling",,,"I",2012,"m","schwarz"
93253,"41-50","w",2,"23","Pekingese",,,,"K",2008,"m","braun/schwarz"
93257,"41-50","w",10,"101","Labrador Retriever","Mischling",,,"I",2008,"m","braun/schwarz/grau"
93278,"51-60","w",8,"83","Foxterrier",,,,"K",2008,"m","tricolor"
93282,"41-50","m",6,"63","Beagle",,,,"K",2008,"m","tricolor"
93288,"51-60","w",10,"101","Cavalier King Charles Spaniel",,,,"K",2007,"m","tricolor"
93289,"41-50","w",8,"81","English Staffordshire Terrier",,,,"II",2008,"m","schwarz"
93294,"31-40","w",4,"42","Soft Coated Wheaten Terrier",,,,"I",2008,"m","weizen"
93299,"51-60","m",12,"122","Russischer schwarzer Terrier",,,,"I",2014,"m","schwarz"
93302,"41-50","w",3,"31","Jack Russel Terrier",,,,"K",2009,"m","tricolor"
93307,"51-60","m",12,"121","Tschechoslowakischer Wolfshund",,,,"I",2018,"m","grau"
93307,"51-60","m",12,"121","Malinois",,,,"I",2014,"w","beige"
93358,"71-80","m",9,"91","Jack Russel Terrier",,,,"K",2007,"m","tricolor"
93392,"61-70","w",2,"24","Riesenschnauzer",,,,"I",2004,"w","schwarz"
93400,"21-30","m",3,"34","Appenzeller","Mischling",,,"I",2007,"m","schwarz/weiss"
93402,"31-40","w",11,"111","Do-Khyi",,,,"I",2008,"m","schwarz/weiss/braun"
93406,"51-60","m",10,"102","Parson Russell Terrier",,,,"K",2007,"m","tricolor"
93421,"41-50","m",11,"115","Beagle",,,,"K",2007,"m","tricolor"
93421,"41-50","m",11,"115","Siberian Husky",,,,"I",2014,"m","schwarz/weiss"
93449,"71-80","w",8,"83","Zwergpudel",,,,"K",2008,"w","choco"
93463,"51-60","w",7,"74","Weimaraner",,,,"I",2007,"m","silbergrau"
93480,"61-70","m",5,"51","Chihuahua",,,,"K",2008,"w","creme"
93496,"31-40","w",11,"115","Mischling gross",,,,"I",2009,"m","braun"
93496,"31-40","w",11,"115","Beagle",,,,"K",2008,"m","tricolor"
93500,"51-60","w",9,"92","Yorkshire Terrier",,,,"K",2008,"m","grau/braun"
93508,"51-60","w",10,"101","Mischling klein",,,,"K",2008,"w","gelb"
93527,"61-70","w",9,"91","Mops",,,,"K",2008,"w","beige/schwarz"
93531,"41-50","w",3,"33","Zwergpinscher",,,,"K",2008,"m","schwarz/rot"
93553,"31-40","m",5,"52","Saarloos-Wolfshund",,,,"I",2008,"m","braun"
93610,"21-30","w",5,"52","Australian Shepherd",,,,"I",2011,"w","red merle"
93639,"51-60","w",8,"81","Mischling klein",,,,"K",2016,"w","weiss/braun"
93664,"61-70","w",7,"74","Dachshund",,,,"K",2010,"w","schwarz/rot"
93664,"61-70","w",7,"74","Dachshund",,,,"K",2006,"w","schwarz/rot"
93667,"51-60","w",3,"34","Cairn Terrier",,,,"K",2010,"w","rot"
93675,"51-60","w",7,"72","Dalmatiner",,,,"I",2006,"m","weiss/schwarz"
93675,"51-60","w",7,"72","Mischling klein",,,,"K",2018,"m","schwarz/braun"
93676,"51-60","w",9,"91","Golden Retriever",,,,"I",2008,"w","golden"
93707,"61-70","w",6,"61","Bolonka Zwetna",,,,"K",2015,"m","rot/braun"
93722,"71-80","w",3,"31","Foxterrier",,,,"K",2008,"m","tricolor"
93729,"51-60","m",4,"42","Lagotto Romagnolo",,,,"I",2008,"w","braun meliert"
93800,"31-40","w",6,"63","Australian Shepherd",,,,"I",2008,"m","braun"
93872,"31-40","w",10,"101","Schäfer",,"Englische Bulldogge",,"I",2007,"w","weiss/braun"
93900,"51-60","w",10,"101","Mischling klein",,,,"K",2016,"m","schwarz"
93904,"51-60","w",11,"119","Malteser",,"Havaneser",,"K",2010,"w","schwarz/braun"
93909,"41-50","m",7,"73","Französische Bulldogge",,,,"K",2015,"m","weiss/schwarz"
93909,"41-50","m",7,"73","Französische Bulldogge",,,,"K",2012,"m","braun gestromt"
93914,"71-80","w",11,"111","Mischling klein",,,,"K",2013,"w","schwarz"
93928,"41-50","w",8,"83","Boston Terrier",,,,"K",2019,"w","schwarz/weiss"
93929,"61-70","w",3,"34","Mischling klein",,,,"K",2006,"w","beige/weiss"
93945,"61-70","w",12,"122","Pinscher",,,,"K",2011,"w","braun"
93945,"61-70","w",12,"122","Pinscher",,"Mops",,"K",2015,"w","beige"
93954,"61-70","w",2,"23","Bichon frisé",,"Shih Tzu",,"K",2018,"w","weiss"
94020,"31-40","w",10,"101","Mischling klein",,,,"K",2006,"w","braun"
94059,"31-40","w",6,"63","Mischling gross",,,,"I",2019,"w","braun/weiss"
94059,"31-40","w",6,"63","Labrador Retriever","Mischling",,,"I",2006,"w","braun"
94085,"31-40","m",4,"44","Old Englische Bulldogge",,,,"I",2008,"w","braun/weiss"
94100,"51-60","w",4,"42","Mischling klein",,,,"K",2009,"m","braun/schwarz/weiss"
94143,"31-40","w",7,"73","Mischling klein",,,,"K",2008,"w","grau/schwarz"
94160,"51-60","w",9,"92","Mischling klein",,,,"K",2008,"w","schwarz"
94222,"41-50","w",12,"122","Shih Tzu",,,,"K",2013,"m","weiss"
94290,"71-80","m",7,"72","Golden Retriever",,,,"I",2008,"w","blondfarben"
94301,"51-60","w",3,"31","Pinscher",,,,"K",2015,"m","braun"
94302,"51-60","w",6,"61","Labrador Retriever",,"Golden Retriever",,"I",2008,"m","schwarz"
94318,"31-40","m",8,"82","Lagotto Romagnolo",,,,"I",2019,"w","weiss/braun"
94333,"61-70","w",11,"115","Appenzeller Sennenhund",,,,"I",2008,"w","schwarz/braun/weiss"
94348,"51-60","m",11,"115","Pekingese",,,,"K",2014,"m","beige/schwarz"
94410,"41-50","m",9,"92","Jack Russel Terrier",,,,"K",2008,"w","tricolor"
94410,"41-50","m",9,"92","Mischling klein",,,,"K",2009,"m","blondfarben"
94435,"51-60","w",3,"34","Yorkshire Terrier",,,,"K",2008,"m","schwarz"
94465,"31-40","m",5,"52","Border Collie",,,,"I",2007,"m","schwarz/weiss"
94477,"61-70","w",8,"81","Chihuahua",,,,"K",2009,"m","black/tan"
94493,"21-30","w",9,"91","Yorkshire Terrier",,,,"K",2007,"m","schwarz/grau"
94514,"51-60","m",1,"11","Zwergdackel",,,,"K",2010,"m","rot"
94599,"31-40","w",12,"121","Chihuahua",,,,"K",2009,"m","weiss/braun"
94617,"41-50","w",2,"23","Lagotto Romagnolo",,,,"I",2008,"w","weiss/braun"
94618,"51-60","w",7,"74","Jack Russel Terrier",,,,"K",2008,"w","tricolor"
94622,"61-70","m",7,"71","Islandhund",,,,"K",2017,"m","rot/weiss"
94640,"31-40","w",11,"111","Beauceron Berge de Beauce",,,,"I",2008,"w","grau/braun/schwarz"
94642,"81-90","w",7,"71","Cocker Spaniel",,,,"K",2008,"w","black/tan"
94655,"51-60","w",2,"24","Labrador Retriever",,,,"I",2008,"w","braun"
94693,"41-50","w",2,"21","Mischling klein",,,,"K",2008,"w","schwarz/weiss"
